id,comicsId
12571,54201
12571,54280
12571,54281
12571,54282
12571,54283
12571,54284
12571,54498
12860,59698
12860,59609
8208,28103
8208,24129
12854,60151
12854,57928
12854,58631
12854,63196
12854,63099
12854,63385
12854,63860
12854,63982
12854,65128
12854,62602
11735,50169
11735,50654
11735,40499
11735,68007
11735,68011
11735,43854
11735,46111
11735,46112
11735,46121
11735,20716
11735,66158
11735,55659
11735,69283
11735,55660
11735,55666
11735,55668
11735,55669
11735,55670
11735,55671
11735,70325
12372,51828
12372,46110
12372,48629
12372,48630
12372,48631
12372,50112
13574,68007
13574,68011
13574,13414
13574,13415
13574,13416
13574,13417
13574,13418
13574,13419
13574,13420
13574,13421
13574,13406
13574,13407
13574,13408
13574,13409
95,50170
95,50169
95,50171
95,50172
95,50173
95,50174
95,49846
95,51276
95,51277
95,51278
95,51279
95,47862
95,53780
95,40499
95,40598
95,40600
95,55923
95,56072
95,56073
95,56074
4201,16573
4201,16574
4201,12579
4201,12580
4201,12581
4201,12582
4201,12583
4201,12584
4201,12585
4201,12587
4201,12588
4201,12589
4201,12590
4201,12592
4201,12593
4201,12594
4201,12595
4201,12599
4201,12600
4201,12601
4014,43488
4014,43495
4014,43498
4014,43501
4014,43504
4014,43505
4014,43506
4014,43507
4014,43508
4014,43509
4014,43467
4014,43468
4014,43469
4014,43470
4014,43472
4014,43473
4014,43474
4014,43475
4014,43476
4014,43477
329,55094
329,55095
329,56383
329,55093
329,49846
329,73697
329,24717
329,66486
329,338
329,985
329,48987
329,52246
329,53554
329,60457
329,49089
329,56116
329,56261
329,49585
329,57024
329,49587
7780,23300
4061,21323
4061,17751
4061,7451
9412,17366
1940,6936
1940,13203
1940,16875
1940,47491
1940,14282
5039,51373
5039,21016
5039,53123
5039,53610
5039,53611
5039,53612
5039,53613
5039,55122
5039,57498
5039,61144
5039,51451
5039,54830
5039,38142
5039,49059
5039,49060
5039,49061
5039,36741
5039,59837
5039,31992
5039,28814
11841,55484
11841,55485
11841,58193
11841,58638
11841,47160
11841,43094
11841,43093
11841,56583
11841,61426
11841,56585
11841,61427
11841,58346
11841,58199
11841,56586
11841,61428
11841,59070
11841,58665
11841,56587
11841,42675
11841,56588
10402,32531
10402,30269
10402,30271
29,960
12558,53985
2684,62871
2684,62804
2684,66895
2684,66896
2684,15516
2684,18941
2684,11810
5830,17845
13527,67173
13263,65906
13263,66199
13263,66494
13263,66774
13263,67338
1040,33328
1040,59527
1040,59612
1040,59613
1040,59614
1040,59615
1040,51648
1040,51647
1040,51649
1040,51650
1040,51651
1040,51652
1040,3091
1040,58153
1040,56909
1040,56910
1040,56911
1040,37192
1040,37191
1040,16033
1304,21150
1304,25299
1304,27443
1304,10008
1304,25743
1304,27691
1304,46249
1304,46250
1304,21804
1304,21805
1304,3973
1304,1231
1304,16725
1304,16736
1304,16747
1304,16758
1304,16769
1304,16780
1304,16791
1304,16802
2041,6653
2041,8670
2041,65016
2041,15236
2041,15098
2041,15099
2041,15101
2041,15102
2041,15103
2041,15104
2041,15105
2041,15106
2041,15109
2041,15110
2041,15111
2041,15112
2041,15113
2041,15114
2041,6146
2041,48268
598,33863
598,23665
598,23838
598,22568
598,24050
598,17281
598,5585
598,23666
598,5993
598,16587
598,21262
598,25267
598,22535
598,21775
598,15890
598,22389
598,5595
598,5712
598,5848
598,6001
651,17536
651,16626
651,41019
651,51435
651,20440
651,20277
651,20288
651,20136
651,29062
651,39444
651,4120
651,8774
651,9097
651,16869
651,9399
651,50512
651,62641
651,62642
651,62643
651,62644
1072,28723
1072,21280
1072,4773
1072,20741
1072,21080
1072,15977
1072,15868
1072,17298
1072,21450
1072,21827
1072,22424
1072,23031
1072,23862
1072,23689
1072,22981
1072,28381
1072,24036
1072,17395
2047,6665
2047,50817
2047,50818
2047,50819
2047,50820
2047,50821
2047,50822
2047,50823
2047,50863
2047,50865
2047,50864
2047,50866
2047,50867
2047,50868
2047,50869
2047,50870
2047,50871
2047,50872
2047,50873
2047,50874
1594,27996
1594,57485
1594,11083
1594,11104
1594,11105
1594,11109
1594,11110
678,54286
678,54287
678,54288
678,54289
678,54577
678,54578
678,54579
678,54580
678,54581
678,54582
678,54583
678,54584
678,54585
678,54586
678,54589
678,54590
678,54591
678,54592
678,54593
678,54594
12471,56455
12471,45988
12471,54916
12471,58347
12471,58348
12471,68172
12471,50650
12471,64529
12471,60981
12471,62934
12471,56161
12471,56162
12471,60739
12471,60740
12471,38069
12471,38068
12471,52387
12471,52389
12471,52393
12471,52394
4994,45871
4994,53612
4994,57498
4994,51063
4994,51444
4994,51065
4994,47283
4994,24660
4994,40530
4994,40528
4994,40538
4994,28763
4994,26500
4994,28449
4994,41203
4994,41205
4994,16654
4994,15883
4994,31104
4994,48743
11196,36190
11196,36189
11196,34918
11196,36556
1950,17787
1950,7409
1950,8328
1950,8330
1950,20216
1950,20217
1950,20218
1950,20219
1950,20220
1950,20221
1950,20222
1950,13212
1950,13224
1950,9562
1950,37756
1950,10050
1950,10051
1950,10052
1950,10053
1950,10054
191,43495
191,43501
191,24348
191,22461
